n:1 mse_avg:0.68 mse_y:0.92 mse_u:0.18 mse_v:0.19 psnr_avg:49.82 psnr_y:48.47 psnr_u:55.63 psnr_v:55.43 
n:2 mse_avg:97.56 mse_y:145.65 mse_u:1.29 mse_v:1.47 psnr_avg:28.24 psnr_y:26.50 psnr_u:47.03 psnr_v:46.46 
n:3 mse_avg:90.54 mse_y:135.12 mse_u:1.29 mse_v:1.46 psnr_avg:28.56 psnr_y:26.82 psnr_u:47.02 psnr_v:46.48 
n:4 mse_avg:430.81 mse_y:644.22 mse_u:3.59 mse_v:4.40 psnr_avg:21.79 psnr_y:20.04 psnr_u:42.58 psnr_v:41.70 
n:5 mse_avg:341.36 mse_y:510.56 mse_u:2.65 mse_v:3.28 psnr_avg:22.80 psnr_y:21.05 psnr_u:43.89 psnr_v:42.98 
n:6 mse_avg:213.14 mse_y:318.67 mse_u:1.78 mse_v:2.37 psnr_avg:24.84 psnr_y:23.10 psnr_u:45.61 psnr_v:44.38 
n:7 mse_avg:117.00 mse_y:174.64 mse_u:1.69 mse_v:1.77 psnr_avg:27.45 psnr_y:25.71 psnr_u:45.85 psnr_v:45.65 
n:8 mse_avg:148.25 mse_y:221.14 mse_u:2.62 mse_v:2.32 psnr_avg:26.42 psnr_y:24.68 psnr_u:43.95 psnr_v:44.47 
n:9 mse_avg:174.82 mse_y:260.80 mse_u:3.13 mse_v:2.60 psnr_avg:25.70 psnr_y:23.97 psnr_u:43.17 psnr_v:43.99 
n:10 mse_avg:304.04 mse_y:453.64 mse_u:5.35 mse_v:4.32 psnr_avg:23.30 psnr_y:21.56 psnr_u:40.84 psnr_v:41.77 
n:11 mse_avg:392.30 mse_y:585.41 mse_u:6.83 mse_v:5.33 psnr_avg:22.19 psnr_y:20.46 psnr_u:39.78 psnr_v:40.86 
n:12 mse_avg:436.85 mse_y:651.97 mse_u:7.48 mse_v:5.77 psnr_avg:21.73 psnr_y:19.99 psnr_u:39.39 psnr_v:40.52 
n:13 mse_avg:454.19 mse_y:678.13 mse_u:6.74 mse_v:5.87 psnr_avg:21.56 psnr_y:19.82 psnr_u:39.84 psnr_v:40.45 
n:14 mse_avg:370.03 mse_y:552.65 mse_u:4.53 mse_v:5.01 psnr_avg:22.45 psnr_y:20.71 psnr_u:41.57 psnr_v:41.13 
n:15 mse_avg:297.38 mse_y:443.91 mse_u:3.65 mse_v:5.00 psnr_avg:23.40 psnr_y:21.66 psnr_u:42.51 psnr_v:41.14 
n:16 mse_avg:313.17 mse_y:466.93 mse_u:4.33 mse_v:6.99 psnr_avg:23.17 psnr_y:21.44 psnr_u:41.77 psnr_v:39.69 
n:17 mse_avg:369.28 mse_y:550.23 mse_u:5.84 mse_v:8.92 psnr_avg:22.46 psnr_y:20.73 psnr_u:40.46 psnr_v:38.63 
n:18 mse_avg:417.21 mse_y:621.54 mse_u:6.94 mse_v:10.16 psnr_avg:21.93 psnr_y:20.20 psnr_u:39.72 psnr_v:38.06 
n:19 mse_avg:525.82 mse_y:783.17 mse_u:9.45 mse_v:12.81 psnr_avg:20.92 psnr_y:19.19 psnr_u:38.38 psnr_v:37.05 
n:20 mse_avg:561.81 mse_y:836.71 mse_u:10.34 mse_v:13.66 psnr_avg:20.63 psnr_y:18.91 psnr_u:37.99 psnr_v:36.77 
n:21 mse_avg:595.31 mse_y:886.44 mse_u:11.32 mse_v:14.81 psnr_avg:20.38 psnr_y:18.65 psnr_u:37.59 psnr_v:36.42 
n:22 mse_avg:616.22 mse_y:917.50 mse_u:11.82 mse_v:15.53 psnr_avg:20.23 psnr_y:18.50 psnr_u:37.41 psnr_v:36.22 
n:23 mse_avg:618.25 mse_y:920.55 mse_u:12.03 mse_v:15.25 psnr_avg:20.22 psnr_y:18.49 psnr_u:37.33 psnr_v:36.30 
n:24 mse_avg:604.30 mse_y:899.61 mse_u:12.30 mse_v:15.03 psnr_avg:20.32 psnr_y:18.59 psnr_u:37.23 psnr_v:36.36 
